City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Tabas,33.5959,56.9244,94.42,10,0,7.99,IR,2021-08-08 17:04:44
67,Torbay,47.6666,-52.7314,77.88,77,100,13.33,CA,2021-08-08 17:03:21
68,Praya,14.9215,-23.5087,84.74,70,40,10.36,CV,2021-08-08 17:02:14
69,Saldanha,-33.0117,17.9442,58.15,82,100,17.31,ZA,2021-08-08 17:04:45
70,Tuatapere,-46.1333,167.6833,35.82,84,99,6.82,NZ,2021-08-08 17:04:45
71,Dikson,73.5069,80.5464,48.34,73,2,3.51,RU,2021-08-08 17:04:45
72,Punta Arenas,-53.15,-70.9167,42.91,75,75,19.57,CL,2021-08-08 17:04:46
73,Cherskiy,68.75,161.3,47.68,60,28,2.17,RU,2021-08-08 17:04:46
74,Gat,31.61,34.7642,84.81,33,0,8.23,IL,2021-08-08 17:04:46
75,Port Lincoln,-34.7333,135.8667,54.86,63,62,10.38,AU,2021-08-08 17:00:14
76,Sulangan,11.1373,123.7228,82.76,74,100,4.76,PH,2021-08-08 17:04:47
77,Olafsvik,64.8945,-23.7142,57.76,78,100,6.96,IS,2021-08-08 17:01:27
78,Saint-Philippe,-21.3585,55.7679,69.39,83,33,8.63,RE,2021-08-08 17:04:47
79,Breytovo,58.2993,37.8617,68.32,82,25,6.08,RU,2021-08-08 17:04:47
80,Alta Floresta,-9.8756,-56.0861,98.33,20,4,3.94,BR,2021-08-08 17:00:41
81,Bara,10.3744,10.7288,78.87,75,88,7.14,NG,2021-08-08 17:04:48
82,Kapaa,22.0752,-159.319,73.38,78,42,1.99,US,2021-08-08 17:03:47
83,Carlyle,38.6103,-89.3726,88.43,69,100,7.0,US,2021-08-08 17:04:48
84,Jalu,29.0331,21.5482,98.06,15,0,10.67,LY,2021-08-08 17:00:48
85,Lisala,2.15,21.5167,79.29,59,93,1.39,CD,2021-08-08 17:04:48
86,Codrington,-38.2667,141.9667,45.75,75,85,9.4,AU,2021-08-08 17:04:49
87,Gobindpur,22.6333,86.0667,80.42,84,91,4.41,IN,2021-08-08 17:04:49
88,Ixcatepec,21.2,-97.95,85.8,60,36,4.7,MX,2021-08-08 17:04:49
89,Snasa,64.2457,12.3778,69.21,76,100,8.46,NO,2021-08-08 17:04:50
90,Kodiak,57.79,-152.4072,54.91,94,90,8.05,US,2021-08-08 17:04:50
91,Krasnoborsk,61.5598,45.934,52.79,96,100,6.04,RU,2021-08-08 17:04:50
92,Nouadhibou,20.931,-17.0347,69.82,87,0,22.75,MR,2021-08-08 17:06:06
93,Saskylakh,71.9167,114.0833,60.35,57,96,10.16,RU,2021-08-08 17:06:06
94,Bredasdorp,-34.5322,20.0403,60.28,63,100,14.29,ZA,2021-08-08 17:06:06
95,Lorengau,-2.0226,147.2712,80.62,79,62,9.71,PG,2021-08-08 17:06:07
96,Coquimbo,-29.9533,-71.3436,58.73,67,75,9.22,CL,2021-08-08 17:06:07
97,Taoudenni,22.6783,-3.9836,116.44,5,18,16.28,ML,2021-08-08 17:06:07
98,Pabna,24.0,89.25,81.63,89,76,8.05,BD,2021-08-08 17:06:07
99,Port Macquarie,-31.4333,152.9167,51.76,64,97,2.3,AU,2021-08-08 17:06:08
