City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
288,Alyangula,AU,78.67,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
290,Teknaf,BD,79.79,overcast clouds,20.8624,92.3058,Forestry Guesthouse
293,Naco,MX,80.69,overcast clouds,31.3347,-109.9483,Naco Estates Mobile Home & RV
295,Xapuri,BR,78.58,clear sky,-10.6517,-68.5044,Pousada dos Chapurys
297,Kavaratti,IN,78.39,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
299,Rawalpindi,PK,78.24,overcast clouds,33.6007,73.0679,Gulzar Travel & Tours
305,Waingapu,ID,81.09,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
306,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
308,Mangrol,IN,81.27,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
310,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
312,Qingdao,CN,78.4,mist,36.0986,120.3719,东晖国际大酒店餐厅
319,Dumai,ID,78.87,overcast clouds,1.6833,101.45,Grand Zuri Dumai
320,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
323,Tayu,ID,80.92,scattered clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
324,Clinton,US,84.52,scattered clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
329,Kendari,ID,80.15,few clouds,-3.945,122.4989,Hotel Wixel
334,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
340,Alipur Chatha,PK,80.85,clear sky,32.2688,73.819,Saeed General Store
342,Vanimo,PG,78.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
343,Mogadishu,SO,76.06,light rain,2.0371,45.3438,Hotel Juba
346,Havelock,US,80.83,few clouds,34.8791,-76.9013,Sherwood Motel
347,Toda Raisingh,IN,80.85,overcast clouds,26.0252,75.4849,MANISH CHAWLA
352,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
353,Portland,US,79.97,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
355,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
366,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
368,Ternate,ID,82.31,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
370,Sao Filipe,CV,79.07,scattered clouds,14.8961,-24.4956,Hotel Xaguate
372,Timbiqui,CO,75.87,light rain,2.7717,-77.6654,hotel diana
373,Champerico,GT,81.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
378,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
380,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
382,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
383,Port Blair,IN,81.91,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
392,Itarema,BR,79.23,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
393,Yichang,CN,81.72,light rain,30.7144,111.2847,Gezhouba Hotel
405,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
414,Khash,IR,76.98,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
415,Manaure,CO,81.3,broken clouds,11.7751,-72.4445,Hotel Palaaima
419,Popondetta,PG,77.41,overcast clouds,-8.7537,148.2534,Timos Transit House
420,Khoy,IR,75.11,broken clouds,38.5504,44.9535,ترک سل
422,Lang Suan,TH,77.09,overcast clouds,9.9456,99.0785,Langsuan Resort
423,Beidao,CN,76.57,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
426,Deoria,IN,81.84,overcast clouds,26.5047,83.7872,RAJSHREE INN
428,Banda Aceh,ID,81.27,overcast clouds,5.5577,95.3222,Sulthan Hotel International
430,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
433,Rio Verde De Mato Grosso,BR,75.52,overcast clouds,-18.9181,-54.8442,Hotel Valência
439,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
442,Alekseyevka,RU,78.35,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
452,Axim,GH,75.67,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
455,Baracoa,CU,79.99,clear sky,20.3467,-74.4958,Hostal Rio Miel
461,Labuhan,ID,80.94,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
463,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
467,Namatanai,PG,84.24,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
468,Yorkton,CA,75.04,clear sky,51.2167,-102.4677,Redwood Motel
469,Bethel,US,75.47,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
470,Krabi,TH,77.2,broken clouds,8.0726,98.9105,Tharapark View Hotel
474,Pemangkat,ID,81.03,broken clouds,1.1667,108.9667,Ramah Kost KITA
475,Bambanglipuro,ID,79.59,few clouds,-7.95,110.2833,Puri Brata
476,Hobyo,SO,76.28,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
478,Hirara,JP,80.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
480,Payo,ID,80.22,clear sky,-3.7508,103.6372,Mess keban agung
484,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
486,Goderich,CA,77.56,overcast clouds,43.7501,-81.7165,Harmony Inn
487,Port-Gentil,GA,75.54,overcast clouds,-0.7193,8.7815,Fengshui Residence
488,Wenling,CN,83.68,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
489,Singapore,SG,80.55,scattered clouds,1.2897,103.8501,The Fullerton Hotel Singapore
491,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
493,Kalmunai,LK,78.49,broken clouds,7.4167,81.8167,VS Villa
497,Harper,LR,75.69,light rain,4.375,-7.7169,Screensaver
500,Rosarno,IT,81.16,scattered clouds,38.4841,15.979,Sweet Home B&B San Ferdinando
501,Hirado,JP,81.75,clear sky,33.3597,129.5531,Samson Hotel
502,Wanning,CN,84.47,overcast clouds,18.8003,110.3967,Paradise Hotel
513,Richmond,US,80.15,scattered clouds,37.5538,-77.4603,The Jefferson Hotel
514,Matara,LK,76.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
523,Kawalu,ID,76.39,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
