City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
86,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,91.27,50,2,1.74,clear sky
87,Minbu,MM,20.1833,94.8833,82.49,74,100,7.52,overcast clouds
88,Westport,US,41.1415,-73.3579,77.04,89,90,1.01,overcast clouds
89,Nikolskoye,RU,59.7035,30.7861,75.09,54,75,6.46,broken clouds
90,Aykhal,RU,66.0,111.5,56.05,88,100,1.66,overcast clouds
91,Hobart,AU,-42.8794,147.3294,46.26,87,18,1.99,few clouds
92,Turukhansk,RU,65.8167,87.9833,66.22,63,26,3.49,scattered clouds
93,Mount Isa,AU,-20.7333,139.5,56.97,38,0,4.61,clear sky
94,Ornskoldsvik,SE,63.2909,18.7153,65.35,88,75,11.5,broken clouds
95,Georgetown,MY,5.4112,100.3354,85.95,76,20,1.01,few clouds
96,Phangnga,TH,8.4509,98.5298,80.71,92,11,3.0,few clouds
97,Mpanda,TZ,-6.3655,31.0409,87.15,22,8,7.74,clear sky
98,Quatre Cocos,MU,-20.2078,57.7625,73.09,82,1,4.72,clear sky
99,Hamburg,DE,53.55,10.0,71.76,60,40,14.97,scattered clouds
100,Nantucket,US,41.2835,-70.0995,75.34,90,75,16.11,broken clouds
101,Kruisfontein,ZA,-34.0033,24.7314,57.88,55,11,22.41,few clouds
102,Cidreira,BR,-30.1811,-50.2056,70.61,63,8,5.08,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,90,12.66,light intensity drizzle
104,Labuhan,ID,-6.8844,112.2051,80.38,79,3,9.28,clear sky
105,Harper,LR,4.375,-7.7169,79.57,76,90,12.68,light rain
106,Guerrero Negro,MX,27.9769,-114.0611,71.22,75,0,10.76,clear sky
107,Havoysund,NO,70.9963,24.6622,65.28,69,100,18.19,overcast clouds
108,Lorengau,PG,-2.0226,147.2712,81.09,77,13,6.53,heavy intensity rain
109,Lethem,GY,3.3803,-59.7968,85.68,65,1,1.34,clear sky
110,New Norfolk,AU,-42.7826,147.0587,45.9,97,8,3.53,clear sky
111,Cobourg,DE,50.2667,10.9667,75.96,46,70,9.8,broken clouds
112,Telhara,IN,21.0269,76.8389,83.7,70,87,6.6,overcast clouds
113,Kautokeino,NO,69.0125,23.0412,57.42,85,100,10.33,overcast clouds
114,Denpasar,ID,-8.65,115.2167,78.46,94,20,11.5,few clouds
115,Bonavista,CA,48.6499,-53.1147,66.2,62,72,1.63,broken clouds
116,Isangel,VU,-19.55,169.2667,68.31,73,52,15.84,broken clouds
117,Chuy,UY,-33.6971,-53.4616,54.28,98,100,13.13,overcast clouds
118,Tete,MZ,-16.1564,33.5867,84.29,20,0,4.61,clear sky
119,Huarmey,PE,-10.0681,-78.1522,64.71,76,18,6.82,few clouds
120,Bela Vista,BR,-22.1089,-56.5211,93.34,20,77,9.98,broken clouds
121,Dinguiraye,GN,11.3,-10.7167,80.92,77,93,1.88,light rain
122,Saint-Joseph,RE,-21.3667,55.6167,71.96,85,58,3.06,broken clouds
123,Kaniama,CD,-7.5667,24.1833,90.64,17,2,1.74,clear sky
124,Maningrida,AU,-12.0667,134.2667,71.33,83,0,10.04,clear sky
125,Karpathos,GR,35.507,27.2132,84.16,79,0,32.21,clear sky
126,Ust-Maya,RU,60.4167,134.5333,57.33,63,89,2.59,overcast clouds
127,Saldanha,ZA,-33.0117,17.9442,60.85,56,5,14.9,clear sky
128,Kirensk,RU,57.7853,108.1119,55.47,68,12,2.15,few clouds
129,Chimbote,PE,-9.0853,-78.5783,66.38,73,58,8.01,broken clouds
130,Antofagasta,CL,-23.65,-70.4,66.22,59,76,7.65,broken clouds
131,Mount Gambier,AU,-37.8333,140.7667,51.71,66,7,12.66,clear sky
132,Norman Wells,CA,65.282,-126.8329,48.24,87,90,5.75,light rain
133,Kavieng,PG,-2.5744,150.7967,81.72,75,50,9.24,scattered clouds
134,Barrow,US,71.2906,-156.7887,35.62,93,90,5.75,mist
135,Fortuna,US,40.5982,-124.1573,51.66,49,1,0.0,clear sky
136,Mancio Lima,BR,-7.6142,-72.8958,86.07,66,0,6.91,clear sky
137,Oksbol,DK,55.6268,8.2876,67.91,75,100,16.64,overcast clouds
138,Puro,PH,12.4841,123.3827,78.37,83,100,9.86,light rain
139,Leningradskiy,RU,69.3833,178.4167,38.35,86,100,5.1,overcast clouds
140,Hambantota,LK,6.1241,81.1185,79.14,94,20,9.22,few clouds
141,Khatanga,RU,71.9667,102.5,61.16,60,83,7.72,broken clouds
142,Bredasdorp,ZA,-34.5322,20.0403,59.29,51,60,11.5,broken clouds
143,Henties Bay,NA,-22.116,14.2845,63.86,70,6,15.46,clear sky
144,Kirakira,SB,-10.4544,161.9205,76.78,86,84,6.31,broken clouds
145,Honiara,SB,-9.4333,159.95,75.51,87,79,4.32,broken clouds
146,Obodivka,UA,48.4051,29.2477,85.17,46,4,9.44,clear sky
147,Thompson,CA,55.7435,-97.8558,51.96,82,90,3.44,light intensity drizzle
148,Bethel,US,41.3712,-73.414,77.04,84,90,3.0,overcast clouds
149,Saskylakh,RU,71.9167,114.0833,68.13,59,100,5.5,overcast clouds
150,Kaura Namoda,NG,12.5898,6.5779,87.87,52,49,8.28,scattered clouds
151,Bati,ET,11.1833,40.0167,77.92,53,58,8.1,light rain
152,Batagay-Alyta,RU,67.8006,130.4114,59.85,34,34,2.64,scattered clouds
153,Nioro,GM,13.35,-15.75,87.44,63,100,4.0,overcast clouds
154,Siguiri,GN,11.6667,-9.5,84.42,70,91,2.24,moderate rain
155,Rodrigues Alves,BR,-7.738,-72.6509,86.2,39,0,0.87,clear sky
156,Monrovia,LR,6.3005,-10.7969,76.77,79,95,12.41,moderate rain
157,Mana,GF,5.6592,-53.7767,84.51,64,8,9.4,clear sky
158,Saint-Denis,FR,48.9167,2.3333,72.75,66,90,1.01,overcast clouds
159,Raska,RS,43.2872,20.6153,96.31,25,56,7.14,broken clouds
160,Gold Coast,AU,-28.0,153.4333,57.04,87,40,1.01,light rain
161,Ancud,CL,-41.8697,-73.8203,45.43,76,1,4.65,clear sky
162,Nortelandia,BR,-14.4547,-56.8028,95.31,21,4,5.82,clear sky
163,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,75,4.61,broken clouds
164,Namatanai,PG,-3.6667,152.4333,79.61,81,96,7.27,overcast clouds
165,Dingle,PH,10.9995,122.6711,74.19,93,100,3.0,moderate rain
166,Baraboo,US,43.4711,-89.7443,72.03,94,90,4.61,moderate rain
